k,h,E,F,M_x,M_z,M_x_nh,M_z_nh
0.36363636363636365,0.0,0.7272727272727272,1.0,(-0.9999999999999998+3.081487911019576e-33j),(-2.775557561562888e-17+0j),(-1+9.860761315262643e-32j),(-9.71445146547012e-17-1.1102230246251558e-16j)
0.3939393939393939,0.0,0.7878787878787878,1.0,(1-1.232595164407831e-32j),(-6.938893903907206e-17+1.3877787807814457e-17j),(1+4.930380657631324e-32j),(-2.7755575615628793e-17+1.387778780781446e-17j)
0.42424242424242425,0.0,0.8484848484848488,0.9999999999999998,(1+0j),(-2.220446049250313e-16+1.3877787807814457e-17j),(1+3.697785493223494e-32j),(-3.3306690738754706e-16+1.3877787807814427e-17j)
0.4545454545454546,0.0,0.9090909090909092,1.0000000000000002,(-1-6.162975822039156e-33j),(6.765421556309549e-17+2.775557561562892e-17j),(-1+9.860761315262648e-32j),(2.7755575615628957e-17+9.714451465470118e-17j)
0.48484848484848486,0.0,0.96969696969697,1.0,(0.9999999999999998+0j),(1.387778780781446e-16+8.326672684688672e-17j),(1+9.860761315262648e-32j),(2.619264724366642e-32-1.3877787807814457e-16j)
0.5151515151515151,0.0,1.0303030303030298,1.0,(-1+0j),(8.326672684688672e-17+0j),(-0.9999999999999998+4.9303806576313227e-32j),(1.387778780781446e-17+1.2490009027033009e-16j)
0.5454545454545454,0.0,1.090909090909091,0.9999999999999998,(1+0j),(-4.1633363423443395e-17-1.3877787807814457e-17j),(1+0j),(-1.0755285551056208e-16-2.0816681711721688e-16j)
0.5757575757575758,0.0,1.1515151515151516,1.0000000000000002,(1+0j),(-1.110223024625158e-16+4.163336342344336e-17j),(1-1.2325951644078307e-31j),(3.466673899897046e-33+2.4980018054066017e-16j)
0.6060606060606061,0.0,1.2121212121212128,1.0,(1+2.465190328815662e-32j),(1.9428902930940242e-16+1.3877787807814457e-17j),(1+1.355854680848614e-31j),(2.498001805406602e-16+4.163336342344335e-17j)
0.6363636363636364,0.0,1.2727272727272727,0.9999999999999998,(1+0j),(2.220446049250313e-16+0j),(1+1.232595164407831e-32j),(1.249000902703301e-16-5.551115123125784e-17j)
