k,h,E,F,M_x,M_z
-0.9090909090909092j,0.0,0.0,2.0931843408476816e-33,(-9.454551720078134e-18-1.2683315108837354e-33j),(2.5739881159159145e-17+7.066329025446009e-34j)
-0.9393939393939394j,0.0,0.0,1.375055033999714e-32,(-1.5279465114939588e-17+6.524632043871969e-33j),(3.3059550435896115e-17+3.3406621707471595e-33j)
-0.9696969696969697j,0.0,0.0,6.654668529118413e-33,(9.147628654746708e-17+1.2984316080059132e-33j),(-1.5832403664556847e-17+5.378408525507192e-33j)
-1j,0.0,0.0,1.8636517115793474e-34,(3.641409051513833e-17+9.387995646053474e-33j),(1.3411079389888005e-16-1.3657758280386194e-32j)
-1.0303030303030303j,0.0,0.0,7.794486774057809e-34,(3.4648715540411644e-17+4.037616143999312e-33j),(6.837863547040032e-18-2.276689379464223e-33j)
-1.0606060606060606j,0.0,0.0,2.8398370907459585e-34,(1.3876709130832997e-16+1.5475935135394832e-32j),(1.0093898845360598e-16+3.253461022201715e-33j)
-1.0909090909090908j,0.0,0.0,7.6748179586244634e-34,(-3.975846766789704e-18+4.84666448485656e-33j),(5.809516912529085e-17-1.2874179426984567e-33j)
-1.1212121212121213j,0.0,0.0,1.4254053681923246e-33,(-4.4911049101239635e-17+7.18071733042466e-33j),(6.517283024042284e-17+2.702109279351933e-33j)
-1.1515151515151516j,0.0,0.0,1.0545592225442901e-32,(1.9993423215808974e-16+8.008724725299784e-33j),(1.1691034489322607e-16-7.88490031192616e-33j)
-1.1818181818181819j,0.0,0.0,4.029153214777006e-33,(-2.709550359034639e-16+1.6187189571148516e-32j),(7.974477192536386e-17-1.298749555555777e-32j)
-1.2121212121212122j,0.0,0.0,3.451867871889208e-33,(-1.0079881562001215e-17+2.3264110621482392e-33j),(-1.9918639726741202e-17+7.671006547344381e-33j)
-1.2424242424242424j,0.0,0.0,6.809279188510025e-34,(-1.7230879903957837e-17-3.1465945570063033e-34j),(1.0962364914094894e-17+1.5034209862692313e-33j)
-1.2727272727272727j,0.0,0.0,3.9002163328947466e-33,(5.750739510074568e-17-8.199451737983176e-34j),(2.226262048962854e-17+2.761099185598003e-34j)
-1.303030303030303j,0.0,0.0,8.343467753084301e-33,(4.107806747239906e-17+3.732416103203461e-33j),(9.172896427458141e-17-3.729808896198725e-33j)
-1.3333333333333335j,0.0,0.0,1.158531796353504e-34,(2.7407516887724368e-17+2.348158687557036e-33j),(-1.5476564660186138e-17-1.672983215379544e-33j)
-1.3636363636363638j,0.0,0.0,2.5998269602701668e-33,(-7.84143419600018e-17+6.933450659387339e-33j),(2.2456146185392045e-17-1.1700164500990101e-33j)
-1.393939393939394j,0.0,0.0,2.6660651166030575e-34,(3.4153160536425205e-18-1.7460180277346433e-33j),(-3.495851400211302e-18+1.532825314483129e-33j)
-1.4242424242424243j,0.0,0.0,5.5978273937571235e-33,(-9.368827756414765e-18-1.5227817998886046e-34j),(1.2884968650656883e-17+1.855542556714543e-33j)
-1.4545454545454546j,0.0,0.0,1.7147937843798178e-33,(5.24675113672769e-17+2.3002525419085656e-34j),(-4.4841845635441954e-17+1.0324666218537033e-33j)
-1.4848484848484849j,0.0,0.0,2.7235151146097135e-33,(-1.206613600361405e-16-9.294216479141488e-33j),(1.7424576857719738e-16-1.0095257815186078e-32j)
-1.5151515151515151j,0.0,0.0,1.2290886203131954e-33,(-1.887929473767699e-17+1.3897362928183552e-32j),(-1.757078359569352e-17-5.345884441254974e-33j)
-1.5454545454545454j,0.0,0.0,8.265395579075233e-33,(1.7184932519138482e-17-2.7834473032287217e-33j),(-4.40000561302928e-18+7.364292368855118e-34j)
-1.5757575757575757j,0.0,0.0,1.495479973878445e-32,(2.7671647781611967e-16-1.848340706725644e-32j),(1.3192301789811284e-16-2.3943279118724668e-32j)
-1.6060606060606062j,0.0,0.0,2.9932467519737122e-33,(-2.937725617036211e-16+1.7913640513678363e-32j),(1.0564638673118887e-16+3.2889643727214513e-32j)
-1.6363636363636365j,0.0,0.0,2.753090124793171e-33,(4.157111461429981e-18-1.2234006443421896e-33j),(-1.8483114433057735e-17-1.0949154919751958e-33j)
-1.6666666666666667j,0.0,0.0,2.023444731487051e-33,(8.298806550468312e-17+4.737986945035227e-33j),(6.725810721796006e-18+2.732075172218858e-34j)
-1.696969696969697j,0.0,0.0,2.400003111653839e-33,(-7.431528185049372e-17+1.1433405081487149e-32j),(-1.4870246224191494e-16+4.8351083362689484e-33j)
-1.7272727272727273j,0.0,0.0,1.0061879012257095e-32,(-5.93573426860546e-17+1.638914848165456e-32j),(-1.9131408410919768e-16-5.135232909288534e-33j)
-1.7575757575757576j,0.0,0.0,5.24012468735564e-34,(1.4895258553860135e-16+1.96007782378266e-33j),(5.899619112100334e-17+5.564010810554345e-33j)
-1.7878787878787878j,0.0,0.0,8.333238878007864e-33,(-2.664991302791788e-17+5.625931359262884e-33j),(5.1339669610017814e-17-5.015184265935859e-33j)
-1.8181818181818183j,0.0,0.0,2.4243727660258758e-33,(-2.1436388803443385e-17+2.5112972503021014e-33j),(1.0323197884564269e-17-1.37711039986632e-33j)
-1.8484848484848486j,0.0,0.0,1.3357110632834988e-33,(-2.4421210498237586e-17+1.3677468675972116e-33j),(-5.344700847363063e-17-6.040089614796401e-34j)
-1.878787878787879j,0.0,0.0,1.9001918706932977e-32,(-2.1322244898626665e-17+6.379664852734617e-34j),(3.133799321926458e-18-1.59467011548867e-33j)
-1.9090909090909092j,0.0,0.0,3.329629974920172e-33,(7.977295736163126e-18+2.2031466079345044e-33j),(-1.4533850175541155e-18-5.9982368809924685e-33j)
-1.9393939393939394j,0.0,0.0,3.777278516596802e-32,(2.6096245948705543e-17+6.605489373454902e-34j),(-8.229115926718966e-17-6.634079868863104e-33j)
-1.9696969696969697j,0.0,0.0,1.0145750979951718e-32,(8.988441256368819e-17+5.6582645670205724e-33j),(2.275522769356739e-16+1.0292466596748837e-32j)
-2j,0.0,0.0,4.6211515841930435e-33,(1.0171478512856785e-17+6.779703988516278e-33j),(-1.2322207589490926e-16-5.206339656257657e-33j)
-2.0303030303030303j,0.0,0.0,1.3409737864604822e-33,(8.089508455204069e-17-2.246627260142767e-32j),(-1.0354507354550457e-16+2.3041533366433555e-32j)
-2.0606060606060606j,0.0,0.0,2.1631281029552843e-32,(8.283055131146885e-17+1.2800759310662886e-32j),(-5.876979008618858e-17+1.0137747220795125e-32j)
-2.090909090909091j,0.0,0.0,6.729205490560528e-34,(-3.760624925896734e-17+1.3517001175345967e-33j),(-5.223436424537173e-17-1.7124998688507407e-32j)
