ks,hs,Gs_exact,E_estimate
2.303030303030303,0.25,(-4.544891434340331+20.624548845058747j),(-4.545118803375579-20.62478357334921j)
2.3333333333333335,0.25,(-4.543910250496388+20.898187535238627j),(-4.543529152226956-20.89806863820421j)
2.3636363636363638,0.25,(-4.542958891837011-21.171815703768207j),(-4.543264184708361-21.171955258094364j)
2.393939393939394,0.25,(-4.542036253983934+21.445433272687655j),(-4.542276060364399-21.445467597121294j)
2.4242424242424243,0.25,(-4.5411412778164255+21.71904018768338j),(-4.541146654892068-21.71916019570195j)
2.4545454545454546,0.25,(-4.540272947651669-21.9926364158186j),(-4.54016104254537-21.99261918555926j)
2.484848484848485,0.25,(-4.539430289474666-22.266221943452177j),(-4.539565379734387-22.266252404652263j)
2.515151515151515,0.25,(-4.538612369221503+22.539796774334466j),(-4.537917171441143-22.539538015491377j)
2.5454545454545454,0.25,(-4.537818291116828-22.813360927862124j),(-4.537158380473197-22.813521852575363j)
2.5757575757575757,0.25,(-4.5370471960671495-23.08691443748325j),(-4.537269950705344-23.087144116954416j)
2.606060606060606,0.25,(-4.536298260110227+23.360457349236754j),(-4.536582638717399-23.360636940123925j)
2.6363636363636362,0.25,(-4.535570692920696-23.633989720418455j),(-4.535485857199862-23.634159223130503j)
2.666666666666667,0.25,(-4.534863736372075-23.907511618360143j),(-4.534990839234944-23.907649743376947j)
2.6969696969696972,0.25,(-4.534176663153899-24.18102311931675j),(-4.534582322454531-24.18128982189336j)
2.7272727272727275,0.25,(-4.53350877544334-24.454524307445926j),(-4.533735660446731-24.454670659180657j)
2.757575757575758,0.25,(-4.532859403631027-24.728015273882303j),(-4.531909565812531-24.727917212934887j)
2.787878787878788,0.25,(-4.532227905098495+25.00149611588909j),(-4.531943330935545-25.001488168743105j)
2.8181818181818183,0.25,(-4.531613663046638-25.274966936082546j),(-4.532362061151102-25.275193258038566j)
2.8484848484848486,0.25,(-4.531016085374448-25.54842784173265j),(-4.531121399933782-25.54848128621221j)
2.878787878787879,0.25,(-4.5304346036049274-25.82187894411892j),(-4.529963604045383-25.82180007661283j)
2.909090909090909,0.25,(-4.52986867185777+26.09532035794665j),(-4.53018497457271-26.095407234042778j)
2.9393939393939394,0.25,(-4.529317765866901+26.36875220081776j),(-4.529260963988386-26.368759727447426j)
2.9696969696969697,0.25,(-4.52878138204121+26.642174592746688j),(-4.529181651328715-26.64235641906218j)
3.0,0.25,(-4.528259036566876-26.915587655723655j),(-4.528257255238205-26.91555819303685j)
0.0,1.75,(-16.073107299612968-1.6363297410296525e-16j),(-15.920353290672807-0.002204537353955455j)
0.030303030303030304,1.75,(-16.068574726809118-3.0764905651816365e-16j),(-16.05620028289712+0.0007793843967265031j)
0.06060606060606061,1.75,(-16.054953966362678-2.893590824097646e-15j),(-16.053814410596747-0.006480529950110613j)
0.09090909090909091,1.75,(-16.032175173609186-7.662403251785598e-16j),(-16.027884739350657-0.003385605294143327j)
0.12121212121212122,1.75,(-16.00011948873777-2.9097074052490933e-15j),(-16.006178773164887-0.0024140483406196464j)
